Nr.;Titel;Story;Perspektive;Perspektive;Perspektive;Perspektive;Schlagwörter;Schlagwörter;Schlagwörter;Schlagwörter;TA 1;TA 2;TA 3;TA 4;TA 5;TA 6;4Memory Website URL;Notiz;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings
58;Einsatz von Normdaten und kontrolliertem Vokabulare zur fachspezifischen Beschreibung von Forschungsdaten;Als Forschungsdatenkurator möchte ich Normdaten und kontrollierte Vokabulare verwenden, um Forschungsdaten möglichst fachspezifisch und mit anderen Ressourcen integrierbar zu beschreiben. Normdaten wie insbesondere die GND wären für eine effiziente Erfassung von Autoren und Forschungseinrichtungen per Autovervollständigung sehr naheliegend. Leider fehlt dafür ebenso wie für den Einsatz kontrollierter Vokabulare oft eine Unterstützung durch die technischen Plattformen. So muss man z.B. im DataCite-Editor des DHVLab der LMU die GND-IDs umständlich über OGND heraussuchen und manuell in das Eingabeformular eintragen. Kontrollierte Vokabulare sollten möglichst im SKOS-Format eingebunden werden können, da viele relevante Klassifikationssysteme, Thesauri und Gazetteers in diesem Format vorliegen, wie etwa das für historische Forschung relevante HISCO oder ICONCLASS oder auch PeriodO als Verzeichnis historischer Perioden. Am ehesten scheint noch die Web Publishing-Plattform Omeka S mit dem Value Suggest-Modul diese Anforderungen zu erfüllen. Es wäre wünschenswert, wenn im Rahmen von 4Memory entsprechende Module für bestehende Systeme oder Eigenentwicklungen entstehen würden, die diese für die Metadatenkuration sehr naheliegenden Anforderungen erfüllen.;datapublication;0;0;0;Normdaten;kontrolliertes Vokabular;SKOS (Linked Data);0;;2;3;;;;https://4memory.de/problem-stories-overview/58-einsatz-von-normdaten-und-kontrolliertem-vokabulare-zur-fachspezifischen-beschreibung-von-forschungsdaten/;;;;;Kompetenzen;Kuration;;;;;;;;Softwarepflege;Standards
59;Sicherung der einheitlichen Erfassung von Metadaten für Forschungsdaten;Als Forschungsdatenkurator möchte ich die einheitliche Beschreibung von Forschungsdaten mit Metadaten durch die Forschenden kontrollieren und sichern, um die Forschungsdaten möglichst gut wiederauffindbar zu machen. Wie gewährleiste ich eine einheitliche Beschreibung von Forschungsdaten, die von verschiedenen Wissenschaftlern aus verschiedenen disziplinären aber auch interdisziplinären Arbeitsgruppen kommen? Eine brauchbare technische Plattform, die mich beim Einrichten von Workflows für Metadaten-Review bzw. Qualitätskontrolle der Daten und Metadaten unterstützt, scheint es derzeit noch nicht zu geben.;datapublication;0;0;0;Metadaten-Qualität;Forschungsdatenmanagement-Workflow;Metadaten-Review;0;1;;3;4;;;https://4memory.de/problem-stories-overview/59-sicherung-der-einheitlichen-erfassung-von-metadaten-fur-forschungsdaten/;;;Interdisziplinarität;;Kompetenzen;Kuration;Langzeitverfügbarkeit;;;;;Qualität;;Softwarepflege;Standards
60;Historische Grenzen und Raumordnungen;Unser Online-Quellenportal bietet neben Text- und Bildquellen auch eine Vielzahl von Karten, die die wechselnden Grenzen und politischen Einheiten des heutigen Deutschlands von der Frühen Neuzeit bis in die Gegenwart zeigen. Statt statischer Karten erwarten durch Google Maps und ähnliche Dienste geprägte Nutzer*innen von einem modernen Internet-Angebot zunehmend dynamische Karten, die das Heran- und Wegzoomen bestimmter Gegenden, dynamische Animationen von Grenzverschiebungen im zeitlichen Verlauf sowie die interaktive Einblendung von Zusatzinformationen wie etwa die Lebenswege bestimmter Personen unterstützen. Programmbibliotheken wie leaflet.js ermöglichen es, solche Funktionalitäten sowohl auf aktuellen Luftbildkarten als auch mit retro-digitalisierten historischen Karten im Hintergrund zu realisieren. Uns fehlt aber ein historisches Geoinformationssystem, das die häufig wechselnden Landes- und Gebietsgrenzen in Europa und insbesondere in Deutschland über die letzten Jahrhunderte (Altes Reich, Napoleonisches Zeitalter, Deutscher Bund, Reichsgründung, Weimarer Republik, Deutsche Teilung, Neue Bundesrepublik) mit den entsprechenden Territorien (Fürsten- und Herzogtümer, Königreiche, Bundesstaaten, (Bundes-)Länder und Bezirke) in passenden Formaten hinreichend exakt und unter einer freien Lizenz bereitstellt.;dataprocessing;datareuse;datapublication;datacollection;Historische Karten;Geoinformationssystem;0;0;;2;3;;;;https://4memory.de/problem-stories-overview/60-historische-grenzen-und-raumordnungen/;;Datentypen;;;Kompetenzen;;Langzeitverfügbarkeit;Lizenzen;;Methoden;;;;;
61;19th century German immigrant letters (GHI Washington, Simone Lässig and Universität Trier, Ursula Lehmkuhl);We are editing 19th century migrant letters that are physically located in German and American archives. In order to be able to reconstruct migration patterns and migrant networks, we would like to mark persons with a unique identifier. Since these are “ordinary people”, we do not find them in existing Authority Files such as GND, LoC or Wikidata. How should we reference the existing biographical information and which markup language should we use so that the biographical information that we retrieve from the letters and from archives can easily be enhanced by future biographical research? Should we transfer our data into the Integrated Authority File (GND) and if yes, how can we do this? Secondly, we would like to store and document all biographical details (baptism, marriage and death records, census records, pension records, emigration records, ship lists) as well as additional information gathered from the letters such as occupation, places of living and family events, contacts between migrants, their families, old and new neighbors, friends and acquaintances, in order to map and visualize the migration and mobility networks. Which service and platform should we use for cooperative research data management and the long-term preservation of our research data? Which digital tools should we use for GIS mapping and network visualization?;datacollection;dataprocessing;datapublication;datareuse;Digitale Edition;Normdaten;GIS-Mapping;0;;;;;;;;Doppelt s. Nr. 15;Datentypen;;;;;;;;Methoden;;;;Softwarepflege;Standards
62;Ortsverteilte Erfassung und virtuelle Präsentation nicht lateinschriftlicher Musikquellen + Digitale und analoge Edition;Eine Gruppe von Forschenden untersucht im Rahmen eines Drittmittelprojekts orientalische Musik des 19. Jahrhunderts. Die Musikstücke liegen in analoger Form in verschiedenen Handschriften und Drucken vor, wobei teilweise unterschiedliche Quellen für ein und dasselbe Werk existieren. Die Quellen befinden sich an verschiedenen Standorten im nicht europäischen Ausland. Das Material weicht sowohl von sprachlichen als auch musikalischen Standards ab: in den Handschriften und Drucken mischen sich unterschiedliche nicht lateinische Sprachen und Schriftzeichen (mit einigen historischen Sonderzeichen), die historische Musiknotation entspricht ebenfalls nicht dem westeuropäischen Notationsstandard. Die Forschenden möchten einen einschlägigen Quellenkatalog aufbauen und im Internet zugänglich machen. Dabei stehen sie vor dem Problem, ein geeignetes technisches System zu finden, das die spezifischen sprachlichen und musikwissenschaftlichen Anforderungen der Quellen erfüllt. Zudem fragen sie sich, welche Metadaten dafür notwendig sind und wie man diese standardisiert in mehreren Sprachen und Schriftsystemen ortsverteilt erfassen und darstellen kann. Ferner stellt sich die Frage, wie man den Quellenkatalog langfristig sichern und funktionsfähig halten kann. Darüber hinaus entscheiden sich die Forschenden dafür, die Handschriften und Drucke gedruckt und online zu veröffentlichen. Hierbei stehen sie zunächst vor dem Problem, den Quellenkatalog für diesen Zweck anpassen zu müssen, um die digitalen Editionen virtuell präsentieren zu können. Unklar ist, inwiefern eine Erweiterung des Quellenkatalogs genügt oder ob stattdessen ein neues System dafür notwendig ist. Zudem wissen die Projektbeteiligten nicht, welche Standards für historische Editionen gelten, insbesondere für historische Musikeditionen und welche Editionswerkzeuge und -systeme die spezifischen sprachlichen und musikwissenschaftlichen Anforderungen des Quellmaterials erfüllen können. Ferner fehlt im Projekt ein Workflow, um ausgehend von dem analog vorliegenden Quellenmaterial digitale und gedruckte Editionen zu erstellen. Schließlich ist den Forschenden nicht klar, wie eine langfristige Sicherung der digitalen musikhistorischen Editionen sichergestellt werden kann.;datacollection;datareuse;datapublication;dataprocessing;nicht lateinische Schriften;digitale Musikedition;digitale Textedition;0;;;3;4;;6?;https://4memory.de/problem-stories-overview/62-ortsverteilte-erfassung-und-virtuelle-prasentation-nicht-lateinschriftlicher-musikquellen-digitale-und-analoge-edition/;Nachhaltigkeit;Datentypen;;;;;Langzeitverfügbarkeit;;Mehrsprachigkeit;;;;;Softwarepflege;Standards
63;Forschungssoftware;Wesentlicher Kern der Digital Humanities ist die Entwicklung und Erforschung digitaler Methoden zur Beantwortung geisteswissenschaftlicher Fragestellungen. Softwareentwicklung stellt in diesem Zusammenhang einen zentralen Bestandteil der Forschungspraxis dar. Nicht selten ist dabei die Entwicklung eines Algorithmus, einer Schnittstelle oder eines Softwarepaketes die eigentliche wissenschaftliche Leistung. Forschungssoftware entsteht in einem komplexen, kreativen, kombinatorischen und oft kollaborativen Prozess, der durch zahlreiche Abhängigkeiten zu anderen Ressourcen und Softwarekomponenten gekennzeichnet ist. Im Gegensatz zu klassischen Forschungsdaten ist der Lebenszyklus von Forschungssoftware wesentlich kürzer und weitaus anfälliger für „äußere Einflüsse“. Zum einen wird Forschungssoftware häufig nur zur kurzfristigen Erzeugung oder Verifikation von Forschungsergebnissen erstellt, zum anderen leidet sie unter der oft begrenzten Förderdauer von Projekten. Themen wie das Überarbeiten von Quellcode, um eine bessere Wartbarkeit zu erzielen, oder das Erstellen von Dokumentationen und Tutorials werden aus Zeitgründen häufig nicht in ausreichendem Maße berücksichtigt. Zudem fallen bei Auslauf der Projektmittel die Softwareentwickler*innen als notwendige technische Expert*innen weg, so dass die Software nicht mehr gepflegt wird und schnell veraltet. Als spezielle Art von Forschungsdaten stellt Software besondere Herausforderungen an den Entwicklungsprozess und an ein nachhaltiges Datenmanagement. Die Anerkennung von Software als Forschungsergebnis sowie die Schaffung institutioneller Strukturen, die Softwareentwickler*innen verlässliche Karrierewege ermöglichen und nicht zuletzt die Integration von Software in nachhaltige Forschungsdateninfrastrukturen würden maßgeblich zu einer qualitativ besseren Forschungspraxis beitragen.;datacollection;dataprocessing;datapublication;datareuse;Softwareentwicklung;Forschungssoftware als wissenschaftliche Leistung;0;0;1;;;4;;;https://4memory.de/problem-stories-overview/63-forschungssoftware/;;;;;Kompetenzen;;;;;Methoden;Modellierung;Qualität;;Softwarepflege;
64;Big Data: digitalisierte Zeitungen;Ich möchte einen großen Datensatz von digitalisierten Zeitungen analysieren. Mein Forschungsvorhaben soll die Volltexte im Hinblick auf Veränderungen thematischer Schwerpunkte in der Berichterstattung untersuchen und darüber hinaus auch eine Analyse des verwendeten Bildmaterials beinhalten. Die Daten sollen von verschiedenen Archiv- und Bibliotheksservern aggregiert werden. Die Datenmenge ist für meinen lokalen Rechner zu groß, außerdem sind die Algorithmen aus dem Bereich des maschinellen Lernens, die ich für die Analyse verwenden möchte, sehr rechenintensiv. Wo finde ich eine Institution, die mein Vorhaben mit der notwendigen Hardwareausstattung und Rechenleistung unterstützen kann?;dataprocessing;0;0;0;digitale Text- und Bildanalyse;Maschinelles Lernen;Hardware/Rechenleistung;0;;;;;5;6?;https://4memory.de/problem-stories-overview/64-big-data-digitalisierte-zeitungen/;Nachhaltigkeit;Datentypen;;;Kompetenzen;;;;;Methoden;;;;;
65;Normdaten;Ich bin Mediävist*in und habe zahlreiche in meinen Quellen genannte Personen, Orte und Institutionen identifizieren können. Nun möchte ich diese Ergebnisse einem breiteren Fachpublikum zur Verfügung stellen und damit vermeiden, dass eine solche zeitintensive Forschungstätigkeit immer wieder neu betrieben werden muss. Für diesen speziellen Datenbestand decken die derzeitig einschlägigen Normdatenrepositorien und -services wie z.B. Wikidata jedoch nur einen Bruchteil meines Bedarfes ab. Nur die wenigsten Personen lassen sich z.B. über die GND identifizieren, kleinere Ortschaften tauchen in den Gazeteers kaum auf, zudem gibt es kein normiertes Vokabular mittelalterlicher Institutionen. Allgemein fehlt es an Normdatenlösungen für meinen Fachbereich und Möglichkeiten, die Daten im Sinne des Semantic Web auf entsprechenden Plattformen als Linked Open Data (LOD) veröffentlichen zu können.;dataprocessing;datapublication;0;0;Normdaten;Linked Open Data;0;0;;;3;;;6?;https://4memory.de/problem-stories-overview/65-normdaten/;Nachhaltigkeit;Datentypen;;;;Kuration;Langzeitverfügbarkeit;;;Methoden;;;;Softwarepflege;Standards
66;Nachwuchsförderung / Digitale Edition;Ich bin Nachwuchswissenschaftler*in und möchte das innerhalb meiner Qualifizierungsarbeit verwendete Quellenkorpus veröffentlichen. Die Daten liegen als TEI-XML vor. Neben der Veröffentlichung der Rohdaten soll aber auch eine Digitale Edition entstehen. Diese soll Basisfunktionen wie (parallele) Textansichten (Transkription, Kommentierter Text, Leseversion, Übersetzung, archivalische Vorlage in Form von Bilddigitalisaten) sowie die Erschließungen über Personen, Orte, Institutionen, Ereignisse und Schlagworte ermöglichen. Darüber hinaus möchte ich den im Datenkorpus auftretenden Personenkreis und seine Interaktionsnetzwerke grafisch visualisieren. Ich bin zwar technisch einigermaßen versiert, dennoch habe ich nicht das notwendige Knowhow, ein solches Projekt umzusetzen. Da ich weder fest an einer Forschungsinstitution angestellt bin noch über eine Drittmittelförderung verfüge, fehlen mir die Mittel für die technische Umsetzung wie auch für das anschließende langfristige Hosting der Edition.;dataprocessing;datapublication;datareuse;0;Digitale Editiom;XML-TEI;0;0;;2;;;;;https://4memory.de/problem-stories-overview/66-nachwuchsforderung-digitale-edition/;;Datentypen;;;;;Langzeitverfügbarkeit;;;Methoden;;;;;Standards
67;Nicht nur Daten, sondern auch Workflows;Bei der Aufbereitung, Auswertung und Publikation von Forschungsdaten gibt es wiederkehrende Bearbeitungsschritte, die im Detail aber auch immer wieder leicht variieren können. Beispiel: Ich möchte meine Daten mit Hilfe von Named-Entity Recognition (NER)-Methoden semantisch anreichern. Das in einer Onlinedokumentation beschriebene Verfahren lässt sich jedoch nicht auf die Sprache meiner Quellen oder den für mich relevanten historischen Kontext anwenden. Gibt es ein einfach zu bedienendes Repositorium, in dem Wissenschaftler*innen ihre beispielhaften use-cases und Lösungsvorschläge publizieren können, so dass sie von anderen Wissenschaftlern nachgenutzt und gegebenenfalls um alternative Vorgehensweisen ergänzt werden können?;datapublication;datareuse;dataprocessing;0;Workflow;Named-entity recognition (NER);Repositorium;0;;2;3;4;;6?;https://4memory.de/problem-stories-overview/67-nicht-nur-daten-sondern-auch-workflows/;Nachhaltigkeit;;;;Kompetenzen;Kuration;Langzeitverfügbarkeit;;Mehrsprachigkeit;Methoden;;;;;
68;Datenmigration;Ich bin Wissenschaftler*in und möchte einen aus unterschiedlichen Quellen aggregierten Datenbestand für Fragestellungen nutzen, die ich z.B. mit Hilfe von Methoden aus dem Bereich des Textmining oder der Netzwerkanalyse beantworten könnte. Anschließend möchte ich die Ergebnisse so publizieren, dass sie von anderen Wissenschaftler*innen nachvollzogen und reproduziert werden können. Die Ausgangsdaten liegen in unterschiedlichen, fachspezifischen (teils auch älteren, heute nicht mehr gebräuchlichen) Datenformaten/Versionen vor (Plaintext, Word, Indesign, Tustep, verschiedene XML-Notationen, etc.). Mir stellen sich folgende Fragen: Wie lassen sich die Daten in ein für meine Fragestellung geeignetes Format transformieren? Gibt es einen (Web)Service für so etwas? Welches ist ein geeignetes Format für die Publikation der Ergebnisse? Wie kann ich sicherstellen, dass die Werkzeuge und Algorithmen, die ich für die Analyse benutzt habe, auch für weitere Generationen von Forschenden noch auffindbar sind und meine Ergebnisse reproduziert werden können?;datapublication;datacollection;dataprocessing;datareuse;Aggregierter Datenbestand;Textmining;Netzwerkanalyse;0;;;;4;5;;https://4memory.de/problem-stories-overview/68-datenmigration/;;;;;;;Langzeitverfügbarkeit;;;Methoden;;;;Softwarepflege;Standards
69;Wie lassen sich die Bestände unseres Forschungsarchivs zeitgemäß erschließen?;Unser Spezialarchiv, das Teil einer außeruniversitären Forschungseinrichtung ist, befasst sich mit der Bewahrung historischen Materials institutioneller wie privater Herkunft und muss daher frühere Konzepte der Strukturierung physisch vorhandener Bestände und von Wissen (Behördenhierarchien etc.) nachvollziehen. Zugleich müssen wir bei der Erschließung und Digitalisierung versuchen vorwegzunehmen, was für künftige Nutzer*innen interessant sein wird, und eine entsprechende Aufbereitung des Vorhandenen ermöglichen oder zumindest nicht verhindern. Darüber hinaus befinden wir uns in einer größeren technischen und organisatorischen Umbruchphase und stehen dabei unter anderem vor der Frage, welche Erschließungsformen zukunftsträchtig und arbeitsökonomisch sind: freie Schlagworte oder kontrollierte Vokabulare? Hierarchien oder Ontologien/Wissensnetzwerke?;datareuse;datacollection;0;0;Bestandsstrukturen;Erschließungsweisen;0;0;1;;;;;6?;https://4memory.de/problem-stories-overview/69-wie-lassen-sich-die-bestande-unseres-forschungsarchivs-zeitgemas-erschliesen/;Nachhaltigkeit;;;;;Kuration;;;;Methoden;;;;;Standards
70;Sozialdaten als Quellen der Zeitgeschichte;"Im Rahmen eines geförderten Projekts beteiligt sich das DHI London daran, Richtlinien für eine von zeithistorischen ForscherInnen dringend benötigte Infrastruktur zur Erfassung, Langzeitarchivierung, Zugänglichkeit und Auswertung neuartiger Datenbestände (sogenannter „Sozialdaten“) aufzubauen. Bei Sozialdaten handelt es sich um die seit der 2. Hälfte des 20. Jahrhunderts zunehmend erzeugten Datensammlungen einerseits staatlicher Behörden, andererseits (im breitesten Sinne) sozialwissenschaftlicher Forschungen. Dies sind heterogene, oft fragmentarisch überlieferte, quantitative und qualitative Daten. Ziel der laufenden Machbarkeitsstudie ist, vorhandene Sozialdatenbestände zu evaluieren, die Bedarfe zeithistorischer Forschung zu erfassen und Umsetzungsmodelle für den Aufbau einer solchen Forschungsdateninfrastruktur herauszuarbeiten und in der Fachcommunity breit zu verankern. Die Forschungsinfrastruktur soll unter anderem zum Erreichen folgender Ziele beitragen: • Sozialdaten sollen als historische Quellen erschlossen und langzeitarchiviert werden können; • diese Datenbestände sollen für die historische Forschung sichtbar dokumentiert und zentral recherchierbar sein; • Metadatenformate zur Kontextualisierung sollen bereitgestellt werden; • es sollen fortlaufend Tools zur optimalen Nutzung der Sozialdaten gemäß den historischen Forschungsinteressen entwickelt und betreut werden; • Beratungs- und Schulungsangebote zu Sozialdaten sollen angeboten werden; • Bedingungen einer rechtskonformen Nachnutzung von Sozialdaten in Bezug auf Datenschutz, Nutzungsbedingungen und Eigentum an den Daten sollen erkundet werden; • Plattformen für die Kommunikation zwischen DatennutzerInnen und DatenhalterInnen sowie zwischen sozial- und geschichtswissenschaftlichen Forschenden sollen entstehen; • die Verknüpfung mit anderen nationalen und internationalen Infrastrukturen gleichen Typs soll hergestellt werden, um mittel- bzw. langfristig internationale Forschungsinfrastrukturen aufbauen zu können. Die Forschenden stoßen auf folgende Probleme: • stark fragmentierte Datenbestände; • Fehlen einer leicht auffindbaren und aussagekräftigen Dokumentation der Daten (beispielsweise zum Archivierungsort); • Fehlen einheitlicher Standards zum Kuratieren zeitgeschichtlicher Daten, etwa von Interviews; • rechtliche Unklarheiten, etwa zu Datenschutz, Urheberrecht, Anonymisierung; • hohe Hürden für HistorikerInnen zur Forschung mit Sozialdaten, da frei verfügbare Sozialdatenbestände fehlen und die statistischen Kenntnisse für deren Auswertung nicht in den historischen Curricula der Universitäten verankert sind; • Nichtberücksichtigung von Schnittstellen zu sozialwissenschaftlichen Infrastrukturen und Erschließungstechniken beim bisherigen Aufbau digitaler geisteswissenschaftlicher Forschungsinfrastrukturen.";dataprocessing;datapublication;datareuse;datacollection;Sozialdaten;Virtuelle Forschungsinfrastruktur;Interdisziplinarität;0;1;;3;4;5;6?;https://4memory.de/problem-stories-overview/70-sozialdaten-als-quellen-der-zeitgeschichte/;Nachhaltigkeit, Verbindung zu anderen NFDI;;Interdisziplinarität;Internationalität;Kompetenzen;;Langzeitverfügbarkeit;Lizenzen;;Methoden;;;;Softwarepflege;Standards
71;Grenzübergreifende Forschung;Story In einem gemeinsamen Projekt italienischer, französischer und deutscher Wissenschaftler*innen werden die Berichte, Korrespondenzen und Sachzeugnisse dreier Reisender auf ihrer Grand Tour erforscht. Die Quellen befinden sich in Archiven und Museen in Italien, Frankreich, Deutschland und in der Schweiz. Viele dieser Quellen sind nicht digitalisiert, sollen aber durch das Projekt digitalisiert werden. Von Beginn an möchte das Team, dass: • die Digitalisate anschließend übergreifend auffindbar und verwendbar sind, • die Daten zu den Stationen der Grand Tour in allen beteiligten Ländern einfach auffindbar sind, • die Daten und Digitalisate im Rahmen des Wissenstransfers frei und einfach genutzt werden können. Das Projektteam findet aber in jedem Land unterschiedliche Ansprechpartner*innen, zum Beispiel sind mal die Archive und mal Forschungsinstitute zuständig. Die Wissenschaftler*innen können bei den Auskünften nicht einschätzen, inwieweit die vorgeschlagenen Lösungen auch für das andere Land passend sind. Insgesamt fehlen Best Practices und Ansprechpartner*innen für den Umgang mit Forschungsdaten in grenzübergreifenden Projekten in der Geschichtswissenschaft. Potentielle Lösung Kompetenzbereich der Max Weber Stiftung: traditionsreiche bi- und multinationale Projektarbeit;dataprocessing;datacollection;datapublication;datareuse;Retrodigitalisierung;internationale Projektarbeit;Europa;0;;;3;4;;;https://4memory.de/problem-stories-overview/71-grenzubergreifende-forschung/;;;;Internationalität;Kompetenzen;;Langzeitverfügbarkeit;;;Methoden;;;;;
72;Interdisziplinäre Forschung;Story In einem gemeinsamen Projekt wollen Kunsthistoriker*innen, Historiker*innen und Musikwissenschaftler*innen die Geschichte, Rezeption und Präsentation eines epochalen Ereignisses erforschen. Sie suchen nun für die Entwicklung des Antrags und die Planung der Aufgaben Ansprechpartner*innen und Infrastruktureinrichtungen, die ihnen sagen können, wie sie mit den entstehenden Datenmengen (Bilddaten, digitale Editionen, Textdatenbanken, annotierte Digitalisate, etc.) umgehen sollen. Sie möchten z.B. wissen: • Was sind die besten Vorgehensweisen zur Benennung der Daten und ihrer Verwaltung? • Welche Datenformate sind besonders geeignet? • Wo können sie die Daten nach Abschluss des Projektes sichern? • Wie und wo sie können sie diese Daten für andere Wissenschaftler*innen ihrer Disziplinen gut auffindbar machen? Bei der Suche nach Informationen finden sie viele sehr allgemeine und wenige genauere Hinweise, die dann aber aus der Sicht nur einer der beteiligten Disziplinen verfasst sind. Das Team findet keine Best Practices und keine Beratungen, die auf die Herausforderungen interdisziplinärer Vorhaben in ihren Wissenschaften eingehen. Potentielle Lösung Arbeitskreis Digital Humanities als ein institutionalisiertes Gremium von Digital Humanists aus der Projektpraxis in den verschiedenen Geistes- und Sozialwissenschaften;datareuse;datapublication;dataprocessing;0;Rezeption;Interdisziplinarität;Digital Humanities;0;1;;3;4;5;;https://4memory.de/problem-stories-overview/72-interdisziplinare-forschung/;;Datentypen;Interdisziplinarität;;Kompetenzen;;Langzeitverfügbarkeit;;;;;;;;
73;How to avoid misrepresentations of data;I am Principal Investigator in a project (PENELOPE, funded by ERC, Deutsches Museum) where the key objective is to explore what is categorised as tacit knowledge, in (ancient) weaving. We make a claim that mathematical knowledge, was itself abstracted from weaving principles in Ancient Greece. In order to explicate such knowledge as being rational and technological, we show coding, algorithms, and numbers implicit in weaving practices. Our problem for data management is that, even though we developed a lot of experiments (live coded looms, robot swarms dancing around a maypole, documenting tacit technological conversations of weavers at looms), only the interaction of all of them can eventually be understood as the point we make for weaving knowledge. Once we move forward, the object cannot solve the problem, and when placed in the public domain can end up misrepresenting what the research outcomes are. How do we avoid this situation? In order to generate the necessary insights, we get users to experience the nature of this knowledge, creating analogies through different algorithmic practices – in music, in computers, on looms. We will set up a final workshop/exhibit and make videos of such experiments as documentation. However, the data processing when weaving becomes available only when the object is in motion, in use. The information is complete only when there is actual engagement with the material objects of our project. How do we save this experiential component, which is available in the project, as data structure? If we put this into a data storage facility, we fall into the trap of creating a new graveyard for weaving knowledge. How do we avoid this trap? How can we actually mark points of ‘missing’ data connections?;datareuse;0;0;0;implizites Wissen;Weberei;Algorithmen;interdisziplinär;1;;3;4;;;https://4memory.de/problem-stories-overview/73-how-to-avoid-misrepresentations-of-data/;;;Interdisziplinarität;;;;;;;;;;;;
74;Kontrollierte Vokabulare und proprietäre Softwares;Als Forschungseinrichtung müssen wir die Langzeitarchivierung der Forschungsdaten sichern aber sind von unseren proprietären Softwares auf verschiedenen Ebenen eingeschränkt. Zwar erlaubt unser Datenbanksystem die Daten laut verschiedenen Formaten (e.g. XML) und Schemata eines selben Formats (e.g. archivfachlichem XML-EAC) zu exportieren aber die innerhalb des Datenbanksystems bereits bestehenden Thesauri und Taxonomien können ohne (gebührenpflichtige) technische Betreuung nicht ausgeführt werden. Da die Migration aller Forschungsdaten zu einem neuen geeigneteren (Langzeitarchivierungs-)Gerät jedenfalls zeit-, arbeits- und kostenintensiv wäre, möchten wir dafür sorgen, dass nicht nur die Daten sondern auch die kontrollierten Vokabulare aufbewahrt werden sollen. Wie werden kontrollierte Vokabulare in den Geisteswissenschaften normgerecht freigemacht und langfristig archiviert?;datapublication;0;0;0;Vokabulare;Software;Datenexport;0;;2;3;;;;https://4memory.de/problem-stories-overview/74-kontrollierte-vokabulare-und-proprietare-softwares/;;;;;Kompetenzen;;Langzeitverfügbarkeit;;;;;;;Softwarepflege;Standards
75;Sicherung und Aktualisierung von „älteren“ Datenbanken;Vor gut 20 Jahren wurden in einem Forschungsprojekt sämtliche Vorstände und Aufsichtsräte deutscher Unternehmen der Jahre 1906, 1927, 1932, 1933 und 1954 in einer Datenbank erfasst. Das Ziel war es, wirtschaftliche und familiäre Vernetzung zu ermitteln und die Struktur der Wirtschaftselite in den Umbruchzeiten zu analysieren. Als Quelle standen die Handbücher der deutschen Aktiengesellschaften in mehreren Ausgaben zur Verfügung. Die Angaben wurden per Hand in eine „Filemaker“-Datenbank eingetragen. Im Laufe der Jahre musste die Datenbank mehrfach in gängigere Formate konvertiert werden, um sie les- und bearbeitbar zu halten. Im Zuge dessen ergaben sich entsprechende Übertragungsprobleme. In diesem Kontext ergeben sich folgende Fragen: a) Wir kann die dauerhafte Sicherung und Aktualisierung von älteren Datenbanken garantiert werden? Sollte es Software-Vorgaben bzw. Empfehlungen geben, um die Daten langfristig nutzbar zu halten? b) Bei der Eingabe der Daten wurden bestimmte Schlagwörter und Abkürzungen z.B. für Berufsbezeichnungen oder Titel vergeben. Es wäre sicher sinnvoll, solche Zuordnungen von Angaben zu Personen nach einem gemeinsamen Standard vorzunehmen, um die spätere Metasuche zu erleichtern. Wie kann dies gelingen?;datareuse;0;0;0;Softwareaktualität;Datenbankkonvertierung;Datensicherung;0;;2;3;;;6?;https://4memory.de/problem-stories-overview/75-sicherung-und-aktualisierung-von-alteren-datenbanken/;Nachhaltigkeit;;;;;;Langzeitverfügbarkeit;;;Methoden;;;;Softwarepflege;Standards
76;Bereitstellung von Daten - Daten aus einer Objektsammlung;Als Forscher wollte ich gern eine datengetriebene Analyse zur Verbreitung heraldischer Motive auf mittelalterlichen Objekten durchführen. Geeignete Daten schien es an einer großen Objektsammlung zu geben, die ihre Sammlung sehr ansprechend in einem online-Portal präsentiert. Hier konnte man facettiert die Suchmenge z.B. auf Mittelalter, Deutsches Reich, heraldisch eingrenzen. Die einzelnen Objekte sind zudem jeweils in LIDO-XML beschrieben, wobei die XML-Dateien zu den Objekten jeweils downloadbar sind. Um tatsächlich über den gesamten Bestand arbeiten zu können, hätte ich auch Zugang zu den Daten der Sammlung gebraucht. Eine Schnittstelle oder einen Data-Dump für die gesamte Sammlung und das Treffen einer entsprechenden Auswahl gab es nicht. Alles, was man herunterladen konnte, waren die LIDO-Files für die einzelnen Objekte, in denen die Informationen zu den heraldische Motiven nicht inkludiert waren.;0;0;0;0;0;0;0;0;;;3;;;;https://4memory.de/problem-stories-overview/76-bereitstellung-von-daten-daten-aus-einer-objektsammlung/;;;;;;;Langzeitverfügbarkeit;;;;;;;;Standards
