"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"84","2018","University of Maryland","Understood to be 1st Af-Am DH conference","http://web.archive.org/web/20200603161721/https://aadhum.umd.edu/conference/","Intentionally Digital, Intentionally Black","2018-10-18","2018-10-20","College Park","Maryland","64","","Alex Gil","","n","False","False","2018 University of Maryland College Park African American History, Culture, and Digital Humanities AADHUM African American History, Culture, and Digital Humanities AADHUM","2018 - University of Maryland"
"85","1997","Cincinnati","","","","","","Cincinnati","Ohio","64","","Scott Weingart, Trevor Owens","","n","False","False","1997 Cincinnati Cincinnati American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","1997 - Cincinnati"
"86","2006","Ohio State University","","http://web.archive.org/web/20061010111301/http://www.theaahc.org/cfp.htm","Make History Online","2006-04-24","2006-04-27","Columbus","Ohio","64","","Scott Weingart, Trevor Owens","","n","False","False","2006 Ohio State University Columbus Ohio State University American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2006 - Ohio State University"
"87","2007","Brown University","","http://blog.uvm.edu/hag/2007/03/23/aahc-conference-open-source-history-making-history-public/","Open Source History: Making History Public","2007-04-19","2007-04-21","Providence","Rhode Island","64","","Scott Weingart, Trevor Owens","","n","False","False","2007 Brown University Providence Institution object (85) American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2007 - Brown University"
"88","2009","George Mason University","","http://web.archive.org/web/20090227045652/http://theaahc.org/2009cfp.htm","Frontiers in Digital History","2009-04-03","2009-04-05","Fairfax","Virginia","64","","Scott Weingart, Trevor Owens","","n","False","False","2009 George Mason University Fairfax Institution object (248) American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2009 - George Mason University"
"89","1998","University of Cincinnati","","https://lists.h-net.org/cgi-bin/logbrowse.pl?trx=vx&list=h-law&month=9803&week=b&msg=x4psIaky1vqVAqMZ9JSfew","History in the New Millennium","1998-04-24","1998-04-25","Cincinnati","Ohio","64","","Scott Weingart, Trevor Owens","","n","False","False","1998 University of Cincinnati Cincinnati American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","1998 - University of Cincinnati"
"90","1999","Temple University","","http://web.archive.org/web/20001204210600/http://aahc.sfasu.edu/Spring_99/Outline.htm","","1999-04-23","1999-04-25","Philadelphia","Pennsylvania","64","","Scott Weingart, Trevor Owens","","n","True","False","1999 Temple University Philadelphia Institution object (725) American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","1999 - Temple University"
"91","2000","Baylor University","","http://web.archive.org/web/20010515200730/http://aahc.sfasu.edu:80/","History Tools for the 21st Century","2000-04-13","2000-04-15","Waco","Texas","64","","Scott Weingart, Trevor Owens","","n","False","False","2000 Baylor University Waco Institution object (54) American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2000 - Baylor University"
"92","2001","Indianapolis","","http://web.archive.org/web/20010803133240/http://www.theaahc.org/annual.htm","Moving Clio into the New Millennium: Interaction, Visualization, Digitization, and Collaboration","2001-02-01","2001-02-03","Indianapolis","Indiana","64","","Scott Weingart, Trevor Owens","","n","True","True","2001 Indianapolis Indianapolis American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2001 - Indianapolis"
"93","2002","Nashville","","http://web.archive.org/web/20020607215442/http://theaahc.org/annual.htm","Reading Clio's Compass: Assessing Where We Are with History and Information Technology","2002-03-06","2002-03-10","Nashville","Tennessee","64","","Scott Weingart, Trevor Owens","","n","True","False","2002 Nashville Nashville American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2002 - Nashville"
"94","2003","DePauw University","","http://web.archive.org/web/20030804093548/http://www.theaahc.org/annual.htm","Looking Forward: Looking Back","2003-03-13","2003-03-15","Greencastle","Indiana","64","","Scott Weingart, Trevor Owens","","n","True","False","2003 DePauw University Greencastle American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2003 - DePauw University"
"95","2004","Washington, D.C.","","http://web.archive.org/web/20040610175610/http://www.theaahc.org:80/cfp.htm","Digital Scholarship: 'Doing History' with Technology","2004-01-08","2004-01-11","Washington, D.C.","","64","","Scott Weingart, Trevor Owens","","n","True","False","2004 Washington, D.C. Washington, D.C. American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2004 - Washington, D.C."
"96","2005","Roosevelt University","","http://web.archive.org/web/20050403075336/http://theaahc.org/cfp.htm","","2005-04-15","2005-04-17","Schaumburg","Illinois","64","","Scott Weingart, Trevor Owens","","n","True","False","2005 Roosevelt University Schaumburg American Association for History and Computing AAHC American Association for History and Computing AAHC Association for History and Computing AHC","2005 - Roosevelt University"
"97","1986","Vassar College","","","","1986-07-31","1986-08-02","Poughkeepsie","New York","64","","Scott Weingart","","n","False","False","1986 Vassar College Poughkeepsie Institution object (1156) Teaching Computers and the Humanities Courses TCHC The Association for Computers and the Humanities ACH","1986 - Vassar College"
"98","1988","University of Oberlin","","","","1988-06-16","1988-06-18","Oberlin","Ohio","64","[Scott Weingart has index to program in paper form]","Scott Weingart","","n","True","False","1988 University of Oberlin Oberlin Teaching Computers and the Humanities Courses TCHC The Association for Computers and the Humanities ACH","1988 - University of Oberlin"
"99","1990","Fordham University","","","","1990-06-24","1990-06-25","Bronx","New York","64","","Scott Weingart","","n","False","False","1990 Fordham University Bronx Institution object (234) Teaching Computers and the Humanities Courses TCHC The Association for Computers and the Humanities ACH","1990 - Fordham University"
"100","1969","University of Kansas","","","Conference on Computer Technology in the Humanities","1969-09-03","1969-09-07","Lawrence","Kansas","64","ACLS CONFERENCE on Computer Technology in the Humanities. ACLS Newsletter, 1969, 20(6):8–12. 
Also available in the Smithsonian archives (https://sova.si.edu/details/SIA.FARU7432#refIDd1e1911)","Scott Weingart, Curtis Fletcher","","n","False","False","1969 University of Kansas Lawrence University of Kansas American Council of Learned Societies ACLS","1969 - University of Kansas"
"101","1990","Palais de Congres de Versailles","From Susan Garfinkel ""acm started having hypertext conferences in 87 (alternating years w/ european assoc). robert coover and others at brown participated while helped form one basis of electronic literature.""","https://www.w3.org/Conferences/ECHT90/Introduction.html","European Conference on HyperText","1990-09-27","1990-09-30","Versailles","","2","","Scott Weingart","","n","False","False","1990 Palais de Congres de Versailles Versailles European Conference on HyperText ECHT Association for Computing Machinery ACM Hypertext Hypertext","1990 - Palais de Congres de Versailles"
"102","1987","Chapel Hill","","","","1987-11-13","1987-11-15","Chapel Hill","North Carolina","64","","Susan Garfinkel","","n","False","False","1987 Chapel Hill Chapel Hill HyperText HyperText Association for Computing Machinery ACM Hypertext Hypertext","1987 - Chapel Hill"
"103","1989","Pittsburgh","","","","1989-11-05","1989-11-08","Pittsburgh","Pennsylvania","64","","Susan Garfinkel","","n","False","False","1989 Pittsburgh Pittsburgh HyperText HyperText Association for Computing Machinery ACM Hypertext Hypertext","1989 - Pittsburgh"
"104","1991","San Antonio","From Susan Garfinkel ""acm started having hypertext conferences in 87 (alternating years w/ european assoc). robert coover and others at brown participated while helped form one basis of electronic literature.""","https://www.w3.org/Conferences/HT91/Overview.html","","1991-12-15","1991-12-18","San Antonio","Texas","64","","Scott Weingart","","n","False","False","1991 San Antonio San Antonio HyperText HyperText Association for Computing Machinery ACM Hypertext Hypertext","1991 - San Antonio"
"105","1986","Westfield College, University of London","","","History and Computing","1986-03-21","1986-03-23","London","England","65","Peter Denly & Deian Hopkin (eds), History and Computing (Manchester 1988)","Scott Weingart, Trevor Owens, Sheila Brennan","300 people from 19 countries https://www.historians.org/publications-and-directories/perspectives-on-history/january-1995/history-and-computing-a-learned-society-and-a-european-perspective","n","False","False","1986 Westfield College, University of London London Association for History and Computing AHC Association for History and Computing AHC","1986 - Westfield College, University of London"
"106","1995","Montreal","","","Visions of History","1995-08-24","1995-08-26","Montreal","","13","Selected proceedings published in Computers in the Humanities.","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1995 Montreal Montreal Association for History and Computing AHC Association for History and Computing AHC","1995 - Montreal"
"107","1996","Moscow State University","","","Data Modelling, Modelling History","1996-08-20","1996-08-24","Moscow","","51","Proceedings of the XI International AHC Conference, Moscow 1996, Leonid Borodkin and Peter Doorn (eds), Data Modelling, Modelling History, (Moscow University Press, Moscow, 2000) ISBN 5-211-04272-7","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1996 Moscow State University Moscow Institution object (468) Association for History and Computing AHC Association for History and Computing AHC","1996 - Moscow State University"
"108","1997","University of Glasgow","","","The Dissemination of Knowledge","1997-06-30","1997-07-03","Glasgow","Scotland","","Selected proceedings published in History and Computing, 9 (1997) and 10 (1998).","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1997 University of Glasgow Glasgow Institution object (961) Association for History and Computing AHC Association for History and Computing AHC","1997 - University of Glasgow"
"109","1998","Convent of San Pedro Mártir","","","History in a new frontier","1998-07-20","1998-07-23","Toledo","","21","Proceedings of the XIII International AHC Conference, Toledo 1998, F. J. Aranda Perez, F. Fernandez Izquierdo and P. Sanz Camanes, La Historia en una nueve frontera. History in a new frontier, (Ediciones de la Universidad de Castilla-La Mancha, Cuenca, 2000) ISBN 84-8427-041-6 
https://web.archive.org/web/19990501013618/http://unth.ceh.csic.es/Historia/impcoesp.htm
https://web.archive.org/web/20010713155754/http://www.kun.nl/ahc/genera98.htm","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1998 Convent of San Pedro Mártir Toledo Association for History and Computing AHC Association for History and Computing AHC","1998 - Convent of San Pedro Mártir"
"110","2001","Adam Mickiewicz University","","https://web.archive.org/web/20010810051738/http://hum.amu.edu.pl/~ahc2001/welcome.htm","New methodologies for the new millennium","2001-08-28","2001-08-30","Poznan","","12","","Scott Weingart, Trevor Owens","100, via https://www.gesis.org/fileadmin/upload/dienstleistung/daten/hist_sozialforschung/dokumente/hcq.pdf","n","True","False","2001 Adam Mickiewicz University Poznan Institution object (1192) Association for History and Computing AHC Association for History and Computing AHC","2001 - Adam Mickiewicz University"
"111","2003","University of Tromsø","","http://web.archive.org/web/20160512152646/http://www.rhd.uit.no:8080/ahc/program.html","","2003-08-06","2003-08-11","Tromsø","","35","","Scott Weingart","","n","True","True","2003 University of Tromsø Tromsø Association for History and Computing AHC Association for History and Computing AHC","2003 - University of Tromsø"
"112","2005","Amsterdam","","http://web.archive.org/web/20081019174133/http://www.ahc2005.org/en/","","2005-09-14","2005-09-17","Amsterdam","","1","https://dans.knaw.nl/nl/over/organisatie-beleid/publicaties/DANShumanitiescomputersandculturalheritageUK.pdf","Scott Weingart","147, via http://web.archive.org/web/20080820170003/http://www.ahc2005.org/en/participants/","n","True","True","2005 Amsterdam Amsterdam Association for History and Computing AHC Association for History and Computing AHC","2005 - Amsterdam"
"113","1987","Westfield College, University of London","AHC formally founded at this meeting","","History and Computing II","1987-03-20","1987-03-22","London","England","65","Peter Denly, Stefan Fogelvik & Charles Harvey (eds), History and Computing II (Manchester 1989)","Scott Weingart, Trevor Owens, Sheila Brennan","nearly 500 people http://users.ox.ac.uk/~lou/Reports/1987-03-20.html","n","False","False","1987 Westfield College, University of London London Association for History and Computing AHC Association for History and Computing AHC","1987 - Westfield College, University of London"
"114","1988","Cologne","Three international associations combined forces for the occasion: the International Conference on databases in the Humanities and Social Sciences (ICDBHSS); the Association for History and Computing (AHC); and the International Federation of Data Organisations for the Social Sciences (IFDO). -http://users.ox.ac.uk/~lou/Reports/1988-09-07.html","","Cologne Computing Conference","1988-09-07","1988-09-10","Cologne","","4","Historical Social Research/Historische Sozialforschung (51/XIV, 1989 (3) Historical Social Research/Historische Sozialforschung (52/XIV, 1989 (4) Historical Social Research/Historische Sozialforschung (53/XV, 1990 (1) H.Best & M. Thaller (eds), Computers in the Humanities and the Social Sciences. Achievements of the 1980's; Prospects of the 1990's. Proceedings of the Cologne Computer Conference 1988. Uses of the Computer in the Humanities and Social Sciences held at the University of Cologne September 1988 ( Münich 1991)","Scott Weingart, Trevor Owens, Sheila Brennan","500","n","False","False","1988 Cologne Cologne Association for History and Computing AHC Association for History and Computing AHC","1988 - Cologne"
"115","1989","University of Bordeaux","","","L'Ordinateur et l'Historien","1989-09-13","1989-09-16","Bordeaux","","2","L'Ordinateur et l'Historien, IVe Congrès History and Computing (Bordeaux 1990)","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1989 University of Bordeaux Bordeaux Association for History and Computing AHC Association for History and Computing AHC","1989 - University of Bordeaux"
"116","1990","University of Montpellier","","","Montpellier Computer Conference","1990-09-04","1990-09-07","Montpellier","","2","Josef Smets (ed), Histoire et Informatique, Ve Congrès ""history and Computing"", 4-7 Septembre 1990 à Montpellier (Montpellier 1992)","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1990 University of Montpellier Montpellier Association for History and Computing AHC Association for History and Computing AHC","1990 - University of Montpellier"
"117","1991","Odense","","https://dhhumanist.org/Archives/Virginia/v05/0186.html","Yesterday","1991-08-28","1991-08-30","Odense","","10","Hans Jørgen Marker and Kirsten Pagh (eds) Yesterday. Proceedings from the 6th international conference Association of History and Computing Odense 1991 (Odense 1994)

https://dhhumanist.org/Archives/Virginia/v05/0186.html (program)","Scott Weingart, Trevor Owens, Sheila Brennan","","n","True","False","1991 Odense Odense Association for History and Computing AHC Association for History and Computing AHC","1991 - Odense"
"118","1992","Bologna","","","Storia and Multimedia","1992-08-29","1992-09-02","Bologna","","26","Franchesca Bocchi & Peter Denley (eds.), Storia i Multimedia, Atti del settimo Congresso Internazionale (proceedings of the Seventh International Congress) Association for History and Computing (Bologna 1994)","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1992 Bologna Bologna Association for History and Computing AHC Association for History and Computing AHC","1992 - Bologna"
"119","1993","Graz","","","The Art of Communication.","1993-08-24","1993-08-27","Graz","","5","G. Jaritz, I. H. Kropac & P. Teibenbacher (eds), The Art of Communication. (Graz, 1995).","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1993 Graz Graz Association for History and Computing AHC Association for History and Computing AHC","1993 - Graz"
"120","1994","Nijmegen","","","Structures and Contingencies in Computerized Historical Research","1994-08-30","1994-09-02","Nijmegen","","1","O. Boonstra, G. Collenteur & B. van Elderen, Structures and Contingencies in Computerized Historical Research, (Hilversum, 1995).","Scott Weingart, Trevor Owens, Sheila Brennan","","n","False","False","1994 Nijmegen Nijmegen Association for History and Computing AHC Association for History and Computing AHC","1994 - Nijmegen"
"121","2017","Perm State University","","http://2017.dhconf.ru/","International Scientific Conference «Digital Humanities: Resources, Methods, and Research»","2017-05-16","2017-05-18","Perm","Perm region","51","","Nadezhda Povroznik","150+ via http://2017.dhconf.ru/","n","True","False","2017 Perm State University Perm Institution object (590) Association for History and Computing AHC","2017 - Perm State University"
"122","1991","Florianópolis","","","International Conference on History and Computing","1991-09-26","1991-09-28","Florianópolis","Santa Catarina","33","https://www.jstor.org/stable/20754563?seq=14#metadata_info_tab_contents","Scott Weingart","","n","False","False","1991 Florianópolis Florianópolis Association for History and Computing AHC Association for History and Computing, Low Countries AHC Low Countries","1991 - Florianópolis"
"123","1993","","","http://web.archive.org/web/20180721092447/http://aik-sng.ru/node/221","","1993-04-02","1993-04-04","","","51","","Scott Weingart","50","n","False","False","1993   История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1993 - История и компьютер (Russian Association for History and Computing)"
"124","2006","Moscow","","","","2006-05-12","2006-05-14","Moscow","","51","","Scott Weingart","","n","False","False","2006 Moscow Moscow История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2006 - Moscow"
"125","2008","Moscow","","","","2008-12-13","2008-12-15","Moscow","","51","","Scott Weingart","","n","False","False","2008 Moscow Moscow История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2008 - Moscow"
"126","2010","Moscow State University Lomonosov","","http://web.archive.org/web/20170531033605/http://aik-sng.ru:80/node/167","ИНФОРМАЦИОННЫЕ РЕСУРСЫ, ТЕХНОЛОГИИ И МОДЕЛИ РЕКОНСТРУКЦИИ ИСТОРИЧЕСКИХ ПРОЦЕССОВ И ЯВЛЕНИЙ","2010-10-22","2010-10-24","Moscow","","51","","Scott Weingart","","n","True","False","2010 Moscow State University Lomonosov Moscow История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2010 - Moscow State University Lomonosov"
"127","2012","Moscow State University Lomonosov","","http://web.archive.org/web/20180707092804/http://aik-sng.ru/node/439","","2012-10-21","2012-10-23","Moscow","","51","","Scott Weingart","","n","False","False","2012 Moscow State University Lomonosov Moscow История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2012 - Moscow State University Lomonosov"
"128","1994","Krasnovidovo","","http://web.archive.org/web/20180623035913/http://aik-sng.ru/node/222","","1994-03-18","1994-03-20","Krasnovidovo","Moscow Oblast","51","","Scott Weingart","","n","False","False","1994 Krasnovidovo Krasnovidovo История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1994 - Krasnovidovo"
"129","1995","Zvenigorodsky boarding house of the Russian Academy of Sciences","","http://web.archive.org/web/20170603132043/http://aik-sng.ru/node/223","","1995-03-31","1995-04-02","Zvenigorod","Moscow Oblast","51","","Scott Weingart","80","n","False","False","1995 Zvenigorodsky boarding house of the Russian Academy of Sciences Zvenigorod История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1995 - Zvenigorodsky boarding house of the Russian Academy of Sciences"
"130","1996","Zvenigorodsky boarding house of the Russian Academy of Sciences","","http://web.archive.org/web/20170603132314/http://aik-sng.ru/node/224","","1996-03-15","1996-03-17","Zvenigorod","Moscow Oblast","51","","Scott Weingart","80","n","False","False","1996 Zvenigorodsky boarding house of the Russian Academy of Sciences Zvenigorod История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1996 - Zvenigorodsky boarding house of the Russian Academy of Sciences"
"131","1997","Zvenigorodsky boarding house of the Russian Academy of Sciences","","http://web.archive.org/web/20170603130021/http://aik-sng.ru/node/225","","1997-03-28","1997-03-30","Zvenigorod","Moscow Oblast","51","","Scott Weingart","","n","False","False","1997 Zvenigorodsky boarding house of the Russian Academy of Sciences Zvenigorod История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1997 - Zvenigorodsky boarding house of the Russian Academy of Sciences"
"132","1998","Zvenigorodsky boarding house of the Russian Academy of Sciences","","http://web.archive.org/web/20170611231800/http://aik-sng.ru/node/226","","1998-03-26","1998-03-29","Zvenigorod","Moscow Oblast","51","","Scott Weingart","100","n","False","False","1998 Zvenigorodsky boarding house of the Russian Academy of Sciences Zvenigorod История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","1998 - Zvenigorodsky boarding house of the Russian Academy of Sciences"
"133","2000","","","http://web.archive.org/web/20190425050400/http://aik-sng.ru/node/227","","2000-04-06","2000-04-09","","Moscow Oblast","51","http://web.archive.org/web/20090218215535/http://hist.msu.ru/Association/HAC/aik/pr7.htm","Scott Weingart","199, via http://web.archive.org/web/20090218215530/http://hist.msu.ru/Association/HAC/aik/participants.htm","n","True","True","2000   История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2000 - История и компьютер (Russian Association for History and Computing)"
"134","2002","Northwest Academy of Public Administration (NWACS)","","http://web.archive.org/web/20180704224931/http://www.aik-sng.ru/node/228","","2002-06-26","2002-06-29","St. Petersburg","","51","","Scott Weingart","","n","True","False","2002 Northwest Academy of Public Administration (NWACS) St. Petersburg История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2002 - Northwest Academy of Public Administration (NWACS)"
"135","2004","","","","","2004-04-22","2004-04-25","","Moscow Oblast","51","","Scott Weingart","","n","False","False","2004   История и компьютер (Russian Association for History and Computing) AIK Association for History and Computing AHC Association for History and Computing, Russia AHC Russia","2004 - История и компьютер (Russian Association for History and Computing)"
"136","1988","University of Glasgow","","","","1988-03-18","1988-03-19","Glasgow","Scotland","65","https://www.jstor.org/stable/44610115?seq=11#metadata_info_tab_contents","Scott Weingart","","n","False","False","1988 University of Glasgow Glasgow Institution object (961) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1988 - University of Glasgow"
"137","1998","University of Teesside","","http://web.archive.org/web/20010505071704/http://www.ucl.ac.uk/history/ahcuk/newslet1.htm#conf99","","1998-09-08","1998-09-11","Middlesbrough","England","65","","Scott Weingart","","n","False","False","1998 University of Teesside Middlesbrough Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1998 - University of Teesside"
"138","1999","King's College, London","","http://web.archive.org/web/20010609200049/http://www.kcl.ac.uk/humanities/cch/ahcuk99/","Recording the Past","1999-09-14","1999-09-16","London","England","65","","Scott Weingart","","n","True","True","1999 King's College, London London Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1999 - King's College, London"
"139","2002","Institute of Historical Research","","http://web.archive.org/web/20021211102348/http://www.ahc.ac.uk/conf2002.htm","Learning and Teaching History","2002-11-23","2002-11-23","London","England","65","","Scott Weingart","","n","False","False","2002 Institute of Historical Research London Institution object (344) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","2002 - Institute of Historical Research"
"140","2004","The National Archives","","http://web.archive.org/web/20050214213508/http://www.ahc.ac.uk/confweb/index.htm","Recasting the Past: Digital Histories","2004-11-27","2004-11-27","London","England","65","","Scott Weingart","","n","True","True","2004 The National Archives London Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","2004 - The National Archives"
"141","1989","University of Durham","","","","1989-03-17","1989-03-18","Durham","England","65","https://www.jstor.org/stable/44610378?seq=6#metadata_info_tab_contents","Scott Weingart","","n","False","False","1989 University of Durham Durham Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1989 - University of Durham"
"142","1990","Wolverhampton Polytechnic","","","","","","Wolverhampton","England","65","Report of Third UK Branch Conference, Wolverhampton Polytechnic University // History and Computing, Vol. 2, 1990, No. 1.","Scott Weingart","","n","False","False","1990 Wolverhampton Polytechnic Wolverhampton Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1990 - Wolverhampton Polytechnic"
"143","1991","University of Southampton","","","","","","Southampton","England","65","Report of Fourth UK Branch Conference, University of Southampton.//History and Computing, Vol. 2, 1990, No. 3.","Scott Weingart","","n","False","False","1991 University of Southampton Southampton Institution object (1083) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1991 - University of Southampton"
"144","1992","University College of Wales","","","The Integration of the Disciplines","1992-04-02","1992-04-04","Aberystwyth","Wales","65","Report of Fifth UK Branch Conference, University of Aberystwyth (Walsh) // History and Computing, Vol. 4, 1992, No. 1.","Scott Weingart","","n","False","False","1992 University College of Wales Aberystwyth Institution object (1838) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1992 - University College of Wales"
"145","1993","University of York","","","New Horizons in Historical Computing","1993-03-25","1993-03-27","York","England","65","Sixth Annual Conference of the Association for History and Computing (UK Branch) // History and Computing, Vol. 5, 1993, No. 1.","Scott Weingart","","n","False","False","1993 University of York York Institution object (1145) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1993 - University of York"
"146","1994","University of Hull","","","","1994-04-12","1994-04-14","Hull","England","65","","Scott Weingart","","n","False","False","1994 University of Hull Hull Institution object (1625) Association for History and Computing UK AHC UK Association for History and Computing AHC Association for History and Computing, United Kingdom AHC UK","1994 - University of Hull"
"147","2012","Florence","","http://www.aiucd.it/primo-convegno-annuale-dellassociazione-informatica-umanistica-e-cultura-digitale/","","2012-12-13","2012-12-14","Florence","","26","","Scott Weingart","","n","True","False","2012 Florence Florence Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2012 - Florence"
"148","2013","University of Padua","","http://aiucd2013.dei.unipd.it/","","2013-12-11","2013-12-12","Padua","","26","","Scott Weingart","","n","True","False","2013 University of Padua Padua Institution object (1052) Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2013 - University of Padua"
"149","2014","University of Bologna","","http://aiucd2014.unibo.it/","La metodologia della ricerca umanistica nell’ecosistema digitale","2014-09-18","2014-09-19","Bologna","","26","","Scott Weingart","","n","True","True","2014 University of Bologna Bologna Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2014 - University of Bologna"
"150","2015","University of Turin","http://www.aiucd.it/digital-humanities-e-beni-culturali-quale-relazione-quarto-convegno-annuale-dellaiucd/","http://web.archive.org/web/20160317172201/http://www.aiucd2015.unito.it/","Digital Humanities e beni culturali: quale relazione?","2015-12-17","2015-12-19","Turin","","26","","Scott Weingart","","n","False","False","2015 University of Turin Turin Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2015 - University of Turin"
"151","2016","Venice","","https://sites.google.com/a/unive.it/aiucd2016/","Edizioni digitali: rappresentazione, interoperabilità, analisi del testo e infrastrutture","2016-09-07","2016-09-09","Venice","","26","","Scott Weingart","","n","True","True","2016 Venice Venice Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2016 - Venice"
"152","2017","Sapienza University","","http://aiucd2017.aiucd.it/","Il telescopio inverso: big data e distant reading nelle discipline umanistiche","2018-01-26","2018-01-28","Rome","","26","","Scott Weingart","","n","True","True","2017 Sapienza University Rome Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2017 - Sapienza University"
"153","2018","University of Bari Aldo Moro","","http://web.archive.org/web/20190125185426/http://www.aiucd2018.uniba.it/","","2018-01-31","2018-02-02","Bari","","26","http://amsacta.unibo.it/5997/","Scott Weingart","","n","True","True","2018 University of Bari Aldo Moro Bari Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2018 - University of Bari Aldo Moro"
"154","2019","University of Udin","","http://aiucd2019.uniud.it/","Pedagogy, teaching, and research in the age of Digital Humanities","2019-01-23","2019-01-25","Udine","","26","","Scott Weingart","","n","True","True","2019 University of Udin Udine Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2019 - University of Udin"
