tool_id,data_tapor,repository_tapor,url_tapor,name_tapor-api,detail,name,QId,url_image,star_average,_ - tools - _ - attribute_value_ids - attribute_value_ids,_ - attribute_values - _ - id,_ - attribute_values - _ - name
256,"{""id"":256,""user_id"":null,""name"":""WordStat"",""detail"":""\u003cp\u003eWordStat is a commercial software package for content analysis and text mining on natural language text such as interview transcripts. It also includes features for automatic document tagging and classification.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/256.jpg"",""creators_name"":""Provalis Research"",""creators_email"":""sales@provalisresearch.com"",""creators_url"":""http://provalisresearch.com/"",""star_average"":0.0,""url"":""http://provalisresearch.com/products/content-analysis-software/"",""last_updated"":""2018-11-06"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/256-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://provalisresearch.com/products/content-analysis-software/,WordStat,WordStat is a commercial software package for content analysis and text mining on natural language text such as interview transcripts. It also includes features for automatic document tagging and classification.,WordStat,Q3569884,https://tapor.ca/images/tools/0/256.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
,,,,,,,,,,147,,
257,"{""id"":257,""user_id"":null,""name"":""Profiler Plus"",""detail"":""\u003cp\u003eProfiler Plus is a commercial general-purpose text analysis program based on natural language processing. It supports multiple languages and can output in text, XML and CSV.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/257.jpg"",""creators_name"":""Social Science Automation"",""creators_email"":"""",""creators_url"":""http://socialscience.net/"",""star_average"":0.0,""url"":""http://socialscience.net/tech/ProfilerPlus.aspx"",""last_updated"":""2013-05-13"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/257-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://socialscience.net/tech/ProfilerPlus.aspx,Profiler Plus,"Profiler Plus is a commercial general-purpose text analysis program based on natural language processing. It supports multiple languages and can output in text, XML and CSV.",Profiler Plus,,https://tapor.ca/images/tools/0/257.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
258,"{""id"":258,""user_id"":null,""name"":""Crawdad Text Analysis Software"",""detail"":""\u003cp\u003eCrawdad is a commercial software package for qualitative data analysis based on natural language processing. It generates a network model of a text and calculates word influence based on its position within the network. It also includes visualization, classification and comparator features. A trial version is available by request.\u003c/p\u003e \u003cp\u003eThe Crawdad website is no longer maintained or available. It can still be viewed via the Internet Archive.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/258.jpg"",""creators_name"":""Crawdad Technologies (Kevin Dooley, Steven Corman)"",""creators_email"":"""",""creators_url"":""http://www.crawdadtech.com/"",""star_average"":0.0,""url"":"""",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/258-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Crawdad Text Analysis Software,"Crawdad is a commercial software package for qualitative data analysis based on natural language processing. It generates a network model of a text and calculates word influence based on its position within the network. It also includes visualization, classification and comparator features. A trial version is available by request. The Crawdad website is no longer maintained or available. It can still be viewed via the Internet Archive.",Crawdad Text Analysis Software,,https://tapor.ca/images/tools/0/258.jpg,0,4,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
259,"{""id"":259,""user_id"":null,""name"":""Tropes"",""detail"":""\u003cp\u003eTropes is a legacy commercial text analysis tool now available for free. It is designed for natural language processing and semantic classification, including chronological analysis of sequential pieces of text and summarization. It includes a graphical interface and can generate a variety of hypertext-based graphs.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/259.jpg"",""creators_name"":""Semantic Knowledge"",""creators_email"":""info@semantic-knowledge.com"",""creators_url"":""http://www.semantic-knowledge.com/"",""star_average"":0.0,""url"":""http://www.semantic-knowledge.com/tropes.htm"",""last_updated"":""2013-05-13"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/259-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.semantic-knowledge.com/tropes.htm,Tropes,"Tropes is a legacy commercial text analysis tool now available for free. It is designed for natural language processing and semantic classification, including chronological analysis of sequential pieces of text and summarization. It includes a graphical interface and can generate a variety of hypertext-based graphs.",Tropes,,https://tapor.ca/images/tools/0/259.jpg,0,82,,
,,,,,,,,,,4,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
260,"{""id"":260,""user_id"":null,""name"":""Yoshikoder"",""detail"":""\u003cp\u003eYoshikoder is a free, open source cross-platform content analysis program. It works with text documents to apply basic content analysis in any language, examine KWIC, generate summaries and generate content analysis dictionaries.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/260.jpg"",""creators_name"":""W. Lowe"",""creators_email"":""wlowe [at] gov.harvard.edu"",""creators_url"":""http://yoshikoder.sourceforge.net/"",""star_average"":0.0,""url"":""http://yoshikoder.sourceforge.net/"",""last_updated"":""2013-05-13"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/260-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://yoshikoder.sourceforge.net/,Yoshikoder,"Yoshikoder is a free, open source cross-platform content analysis program. It works with text documents to apply basic content analysis in any language, examine KWIC, generate summaries and generate content analysis dictionaries.",Yoshikoder,Q105229781,https://tapor.ca/images/tools/0/260.jpg,0,79,,
261,"{""id"":261,""user_id"":null,""name"":""Lexa"",""detail"":""\u003cp\u003eLexa is a free legacy set of programs for corpus processing. It is designed to tag and lemmatize texts or series of texts. The website for Lexa is no longer maintained or active, but may still be viewed via the Internet Archive.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/261.jpg"",""creators_name"":""Raymond Hickey"",""creators_email"":""raymond.hickey@uni-due.de"",""creators_url"":""https://www.uni-due.de/~lan300/HICKEY.htm"",""star_average"":0.0,""url"":""https://web.archive.org/web/20131213200928/http://nora.hd.uib.no/lexainf.html"",""last_updated"":""2018-09-18"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/261-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,https://web.archive.org/web/20131213200928/http://nora.hd.uib.no/lexainf.html,Lexa,"Lexa is a free legacy set of programs for corpus processing. It is designed to tag and lemmatize texts or series of texts. The website for Lexa is no longer maintained or active, but may still be viewed via the Internet Archive.",Lexa,,https://tapor.ca/images/tools/0/261.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
262,"{""id"":262,""user_id"":null,""name"":""TABARI (Text Analysis By Augmented Replacement Instructions)"",""detail"":""\u003cp\u003eTABARI (Text Analysis By Augmented Replacement Instructions) is a legacy open-source successor to the KEDS program, written in C++ and maintained online to the present in an OS X edition. It runs in the Terminal command prompt, and is designed for analyzing short news stories such as wire service reports. It can determine who is acting against whom, the action and extract the date of the release.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/262.jpg"",""creators_name"":""KEDS Project (Kansas Event Data System)"",""creators_email"":"""",""creators_url"":""http://web.ku.edu/~keds/index.html"",""star_average"":0.0,""url"":""http://eventdata.parusanalytics.com/software.dir/tabari.html"",""last_updated"":""2014-11-20"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/262-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://eventdata.parusanalytics.com/software.dir/tabari.html,TABARI (Text Analysis By Augmented Replacement Instructions),"TABARI (Text Analysis By Augmented Replacement Instructions) is a legacy open-source successor to the KEDS program, written in C++ and maintained online to the present in an OS X edition. It runs in the Terminal command prompt, and is designed for analyzing short news stories such as wire service reports. It can determine who is acting against whom, the action and extract the date of the release.",TABARI (Text Analysis By Augmented Replacement Instructions),,https://tapor.ca/images/tools/0/262.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
263,"{""id"":263,""user_id"":null,""name"":""Ethnograph"",""detail"":""\u003cp\u003eEthnograph is a long-standing legacy software package, maintained into the present, for quantitative analysis and data management. It contains features for search, applying metadata and conducting corpus analysis.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/263.jpg"",""creators_name"":""Qualis Research"",""creators_email"":""info@qualisresearch.com"",""creators_url"":""http://www.qualisresearch.com/"",""star_average"":0.0,""url"":""http://www.qualisresearch.com/default.htm"",""last_updated"":""2018-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/263-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.qualisresearch.com/default.htm,Ethnograph,"Ethnograph is a long-standing legacy software package, maintained into the present, for quantitative analysis and data management. It contains features for search, applying metadata and conducting corpus analysis.",Ethnograph,,https://tapor.ca/images/tools/0/263.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,81,,
,,,,,,,,,,82,,
,,,,,,,,,,86,,
,,,,,,,,,,147,,
264,"{""id"":264,""user_id"":null,""name"":""SALT (Statistic Analysis of Language Transcripts)"",""detail"":""\u003cp\u003eSALT (Systemic Analysis of Language Transcripts) is a commercial software package for working with large datasets derived from transcripts. It includes transcription tools, text analysis based on natural language processing, content analysis, classification, and statistics. The Research version includes expanded search and metadata functions, and common text analysis functions such as word lists. A trial version is available.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/264.jpg"",""creators_name"":""SALT Software"",""creators_email"":""info@saltsoftware.com"",""creators_url"":""http://www.saltsoftware.com/company/contact/"",""star_average"":0.0,""url"":""http://www.saltsoftware.com/"",""last_updated"":""2018-11-06"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/264-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.saltsoftware.com/,SALT (Statistic Analysis of Language Transcripts),"SALT (Systemic Analysis of Language Transcripts) is a commercial software package for working with large datasets derived from transcripts. It includes transcription tools, text analysis based on natural language processing, content analysis, classification, and statistics. The Research version includes expanded search and metadata functions, and common text analysis functions such as word lists. A trial version is available.",SALT (Statistic Analysis of Language Transcripts),,https://tapor.ca/images/tools/0/264.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
,,,,,,,,,,147,,
,,,,,,,,,,1,,
265,"{""id"":265,""user_id"":null,""name"":""Voyant RezoViz"",""detail"":""\u003cp\u003eVoyant RezoViz is a free, web-based tool in the Voyant toolset for visualizing the relationships between people, locations and organizations in a text or collection of texts.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/265.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":0.0,""url"":""http://voyant-tools.org/tool/RezoViz/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/265-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://voyant-tools.org/tool/RezoViz/,Voyant RezoViz,"Voyant RezoViz is a free, web-based tool in the Voyant toolset for visualizing the relationships between people, locations and organizations in a text or collection of texts.",Voyant RezoViz,,https://tapor.ca/images/tools/0/265.jpg,0,4,,
,,,,,,,,,,79,,
266,"{""id"":266,""user_id"":null,""name"":""TEXTPACK V"",""detail"":""\u003cp\u003eTEXTPACK V is a historic collection of interrelated text analysis utilities first released for mainframe computers in the 1970s. With the fifth edition, released in the 1980s, it was ported from FORTRAN to run on PC.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/266.jpg"",""creators_name"":""Peter Mohler and Cornelia Zuell of ZUMA (Zentrum fur Umfragen, Methoden und Analysen); original implementation by Jurgen Hoehe, Hans-Dieter Klingemann and Klaus Radermacher"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-01-15"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/266-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,TEXTPACK V,"TEXTPACK V is a historic collection of interrelated text analysis utilities first released for mainframe computers in the 1970s. With the fifth edition, released in the 1980s, it was ported from FORTRAN to run on PC.",TEXTPACK V,,https://tapor.ca/images/tools/0/266.jpg,0,79,,
267,"{""id"":267,""user_id"":null,""name"":""INRAC Language Compiler"",""detail"":""\u003cp\u003eINRAC was an early language compiler useful for prototyping natural language processing interfaces, designing conversational systems, and experimental prose and poetry.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/267.jpg"",""creators_name"":""INRAC, Inc."",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-29"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/267-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,INRAC Language Compiler,"INRAC was an early language compiler useful for prototyping natural language processing interfaces, designing conversational systems, and experimental prose and poetry.",INRAC Language Compiler,,https://tapor.ca/images/tools/0/267.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
268,"{""id"":268,""user_id"":null,""name"":""Parser 1.0"",""detail"":""\u003cp\u003eParser 1.0 was a commercial program running in DOS for analyzing English-language text, aimed at academics and other researchers.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/268.jpg"",""creators_name"":""Prospero Software"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-02-25"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/268-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Parser 1.0,"Parser 1.0 was a commercial program running in DOS for analyzing English-language text, aimed at academics and other researchers.",Parser 1.0,,https://tapor.ca/images/tools/0/268.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
269,"{""id"":269,""user_id"":null,""name"":""FANGORN"",""detail"":""\u003cp\u003eFANGORN was a historically important programming language designed for linguistic analysis in the humanities.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/269.jpg"",""creators_name"":""University of Aarhus"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-29"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/269-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,FANGORN,FANGORN was a historically important programming language designed for linguistic analysis in the humanities.,FANGORN,,https://tapor.ca/images/tools/0/269.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
270,"{""id"":270,""user_id"":null,""name"":""STASEL (Stylistic Treatment at the Sentence Level)"",""detail"":""\u003cp\u003eSTASEL (Stylistic Treatment at the Sentence Level) is a historically important program designed to analyze text. It was intended for language and style instruction, but had research-based applications.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/270.jpg"",""creators_name"":""Julie Payette and Graeme Hirst"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-29"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/270-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,STASEL (Stylistic Treatment at the Sentence Level),"STASEL (Stylistic Treatment at the Sentence Level) is a historically important program designed to analyze text. It was intended for language and style instruction, but had research-based applications.",STASEL (Stylistic Treatment at the Sentence Level),,https://tapor.ca/images/tools/0/270.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
271,"{""id"":271,""user_id"":null,""name"":""Morfogen, Morffile/Morfword, Inflword (Version 2.0)"",""detail"":""\u003cp\u003eMorfogen, Morffile/Morfword and Inflword were four historicially important interrelated tools offered as and designed to operate as single package. Morfogen is a finite state compiler for morphological analysis, while Morffile and Morfword utilize Morfogen's compiled rules. Morffile searches a text and replaces them with either their base form or a base form followed by morpheme names. Morfword takes a word input by the user and generates its base forms and morpheme names. Inflword generates inflected words.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/271.jpg"",""creators_name"":""Executive Communication Systems, Inc."",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-31"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/271-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,"Morfogen, Morffile/Morfword, Inflword (Version 2.0)","Morfogen, Morffile/Morfword and Inflword were four historicially important interrelated tools offered as and designed to operate as single package. Morfogen is a finite state compiler for morphological analysis, while Morffile and Morfword utilize Morfogen's compiled rules. Morffile searches a text and replaces them with either their base form or a base form followed by morpheme names. Morfword takes a word input by the user and generates its base forms and morpheme names. Inflword generates inflected words.","Morfogen, Morffile/Morfword, Inflword (Version 2.0)",,https://tapor.ca/images/tools/0/271.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,147,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
272,"{""id"":272,""user_id"":null,""name"":""E-Parser"",""detail"":""\u003cp\u003eE-Parser was a deterministic parsing system with a syntax of 'heuristic rules' derived from a GB-related parsing system.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/272.jpg"",""creators_name"":""Torbjorn Nordgard"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-29"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/272-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,E-Parser,E-Parser was a deterministic parsing system with a syntax of 'heuristic rules' derived from a GB-related parsing system.,E-Parser,,https://tapor.ca/images/tools/0/272.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
273,"{""id"":273,""user_id"":null,""name"":""ESTMORF"",""detail"":""\u003cp\u003eESTMORF was a historically important morphological analyzer designed specifically for Estonian text. it included stemming, word classification, suffix identification and so forth.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/273.jpg"",""creators_name"":""Heiki-Jaan Kaalep"",""creators_email"":""hkaalep@psych.ut.ee"",""creators_url"":"""",""star_average"":0.0,""url"":""http://www.eki.ee/keeletehnoloogia/projektid/estmorf/"",""last_updated"":""2018-09-27"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/273-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.eki.ee/keeletehnoloogia/projektid/estmorf/,ESTMORF,"ESTMORF was a historically important morphological analyzer designed specifically for Estonian text. it included stemming, word classification, suffix identification and so forth.",ESTMORF,,https://tapor.ca/images/tools/0/273.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
274,"{""id"":274,""user_id"":null,""name"":""NITE XML Toolkit (NXT)"",""detail"":""\u003cp\u003eThe NITE XML Toolkit (NXT) is an open source toolkit for working with language corpora, particularly useful for multimodal and cross-annotated data sets.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/274.jpg"",""creators_name"":""Jean Carletta, Stefan Evert, Ulrich Heid and Jonathan Kilgour"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":""http://groups.inf.ed.ac.uk/nxt/index.shtml"",""last_updated"":""2018-11-07"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/274-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://groups.inf.ed.ac.uk/nxt/index.shtml,NITE XML Toolkit (NXT),"The NITE XML Toolkit (NXT) is an open source toolkit for working with language corpora, particularly useful for multimodal and cross-annotated data sets.",NITE XML Toolkit (NXT),,https://tapor.ca/images/tools/0/274.jpg,0,1,,
,,,,,,,,,,147,,
275,"{""id"":275,""user_id"":null,""name"":""PL/I"",""detail"":""\u003cp\u003ePL/I was an early programming language commonly used for humanities research, developed at a time when most programming languages were not intended to work with strings of text. In addition to direct processing, it was also used to program systems and tools developed specifically for the humanities.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/275.jpg"",""creators_name"":""Jack Heller and George W. Logemann"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2018-11-07"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/275-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,PL/I,"PL/I was an early programming language commonly used for humanities research, developed at a time when most programming languages were not intended to work with strings of text. In addition to direct processing, it was also used to program systems and tools developed specifically for the humanities.",PL/I,Q223433,https://tapor.ca/images/tools/0/275.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
,,,,,,,,,,147,,
,,,,,,,,,,148,,
276,"{""id"":276,""user_id"":null,""name"":""SNAP"",""detail"":""\u003cp\u003eSNAP was a historically important programming language designed specificially for humanists. It used plain-English syntax, and was particularly suited for automating text processing tasks.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/276.jpg"",""creators_name"":""Michael P. Barnett (Columbia University)"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2018-10-26"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/276-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,SNAP,"SNAP was a historically important programming language designed specificially for humanists. It used plain-English syntax, and was particularly suited for automating text processing tasks.",SNAP,,https://tapor.ca/images/tools/0/276.jpg,0,148,,
277,"{""id"":277,""user_id"":null,""name"":""SOLAR (A Semantically Oriented Lexical ARchive)"",""detail"":""\u003cp\u003eSOLAR (A Semantically Oriented Lexical ARchive) was a historically important program originally available only over ARPAnet. It facilitated the semantic and conceptual analysis of English-language texts.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/277.jpg"",""creators_name"":""Timothy Diller and John Olney"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-01-08"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/277-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,SOLAR (A Semantically Oriented Lexical ARchive),SOLAR (A Semantically Oriented Lexical ARchive) was a historically important program originally available only over ARPAnet. It facilitated the semantic and conceptual analysis of English-language texts.,SOLAR (A Semantically Oriented Lexical ARchive),,https://tapor.ca/images/tools/0/277.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
278,"{""id"":278,""user_id"":null,""name"":""OPCOL"",""detail"":""\u003cp\u003eOPCOL was an algorithm developed in the mid-1970s for optimizing the efficiency of text collation from a computer science perspective, created by Robert L. Cannon, Jr. of the University of South Carolina.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/278.jpg"",""creators_name"":""Robert L. Cannon, Jr."",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-10"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/278-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,OPCOL,"OPCOL was an algorithm developed in the mid-1970s for optimizing the efficiency of text collation from a computer science perspective, created by Robert L. Cannon, Jr. of the University of South Carolina.",OPCOL,,https://tapor.ca/images/tools/0/278.jpg,0,1,,
,,,,,,,,,,147,,
,,,,,,,,,,81,,
,,,,,,,,,,86,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
279,"{""id"":279,""user_id"":null,""name"":""FISHER"",""detail"":""\u003cp\u003eFISHER was a string-handling package for the FORTRAN programming language. It enabled researchers to manipulate characters and character strings with greater ease than FORTRAN permitted by itself.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/279.jpg"",""creators_name"":""A.C. Day, University College London"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2018-10-26"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/279-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,FISHER,FISHER was a string-handling package for the FORTRAN programming language. It enabled researchers to manipulate characters and character strings with greater ease than FORTRAN permitted by itself.,FISHER,,https://tapor.ca/images/tools/0/279.jpg,0,91,,
,,,,,,,,,,148,,
280,"{""id"":280,""user_id"":null,""name"":""Icon"",""detail"":""\u003cp\u003eIcon is a historically important programming language that builds on SNOBOL to extend its utility to groups like humanists.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/280.jpg"",""creators_name"":""Ralph Griswald"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":""http://www.cs.arizona.edu/icon/"",""last_updated"":""2018-10-26"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/280-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.cs.arizona.edu/icon/,Icon,Icon is a historically important programming language that builds on SNOBOL to extend its utility to groups like humanists.,Icon,Q1156474,https://tapor.ca/images/tools/0/280.jpg,0,148,,
281,"{""id"":281,""user_id"":null,""name"":""REDUX"",""detail"":""\u003cp\u003eREDUX was a natural language processing program for making generalizations from cases such as case studies, legal cases, case histories and so forth. It searched for repeated patterns, and was presented as a metalanguage for the analysis of the behavior of types.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/281.jpg"",""creators_name"":""Robert Abramson"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-31"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/281-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,REDUX,"REDUX was a natural language processing program for making generalizations from cases such as case studies, legal cases, case histories and so forth. It searched for repeated patterns, and was presented as a metalanguage for the analysis of the behavior of types.",REDUX,,https://tapor.ca/images/tools/0/281.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
282,"{""id"":282,""user_id"":null,""name"":""Linear Modelling Kit"",""detail"":""\u003cp\u003eThe Linear Modelling Kit was a tool for modelling structuralist ideas about narrative, intended for use in literature courses.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/282.jpg"",""creators_name"":""Peter Havholm and Larry Stewart"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-02-10"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/282-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Linear Modelling Kit,"The Linear Modelling Kit was a tool for modelling structuralist ideas about narrative, intended for use in literature courses.",Linear Modelling Kit,,https://tapor.ca/images/tools/0/282.jpg,0,91,,
283,"{""id"":283,""user_id"":null,""name"":""ELSE"",""detail"":""\u003cp\u003eELSE was a historically important tool developed to assist the instruction of French and Danish with sophisticated error analysis.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/283.jpg"",""creators_name"":""John Robin Allen"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2014-12-31"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/283-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,ELSE,ELSE was a historically important tool developed to assist the instruction of French and Danish with sophisticated error analysis.,ELSE,,https://tapor.ca/images/tools/0/283.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
